, BRISBANE, FREMANTLE, ADELAIDE, MELBOURNE, SYDNEY, CHITTAGONG, ZEEBRUGGE, ANTWERP, SOKHNA, LE HAVRE, HAMBURG, BREMERHAVEN, HONG KONG, COCHIN, CHENNAI, NHAVA SHEVA, JAKARTA, TOKYO, NAGOYA, YOKOHAMA, KOBE, AQABAH, PUSAN, KWANGYANG, PORT KLANG, ROTTERDAM, DALIAN, XINGANG, QINGDAO, NINGBO, SHANGHAI, SALALAH, KARACHI, MANILA, JEDDAH, SINGAPORE, YANTIAN, XIAMEN, CHIWAN, COLOMBO, KAOHSIUNG, LAEM CHABANG, JEBEL ALI, THAMESPORT, SOUTHAMPTON, HO CHI MINH
 BRISBANE,0,2530,1346,929,419,5140,11848,11894,8543,11702,12267,12097,3856,5599,5236,6066,3360,3927,3927,3913,3917,8482,4066,4085,3836,11908,4443,4588,4344,4006,4076,6817,6524,3274,7933,3649,3866,3828,3872,5191,3672,4156,7054,11800,11693,3836
 FREMANTLE,2530,0,1325,1653,2113,3609,9554,9600,6248,9408,9826,9803,3406,3400,3420,4066,1733,4430,4342,4414,4296,6188,4215,4193,2323,9614,4396,4537,4223,3834,3927,4649,4473,2913,5638,2152,3420,3495,3418,3148,3384,2894,4993,9506,9399,2774
 ADELAIDE,1346,1325,0,470,929,4890,10755,10801,7450,10609,11024,11004,4712,4638,4675,5312,3026,5273,5271,5259,5264,7390,5412,5431,3616,10815,5703,5843,5530,5141,5234,5863,5717,4220,6840,3446,4726,4802,4725,4392,4691,4187,6235,10707,10600,4065
 MELBOURNE,929,1653,470,0,512,5219,11084,11130,7779,10938,11334,11333,4786,4976,5004,5632,3355,4856,4854,4842,4847,7719,4995,5014,3945,11144,5373,5517,5274,4935,5006,6192,6046,4204,7169,3775,4796,4757,4801,4721,4601,4516,6564,11036,10929,4385
 SYDNEY,419,2113,929,512,0,5559,11544,11590,8239,11398,11807,11793,4275,5435,5463,6104,3779,4346,4343,4332,4337,8178,4485,4504,4255,11604,4862,5007,4764,4425,4495,6651,6505,3693,7628,4068,4285,4247,4291,5181,4091,4575,7023,11496,11389,4709
 CHITTAGONG,5140,3609,4890,5219,5559,0,7977,8023,4671,7831,8033,8226,2897,1578,872,1931,1957,4385,4262,4373,4178,4611,3976,3925,1305,8037,4067,4208,3895,3506,3599,2911,2618,2792,4061,1491,2913,3114,2901,1285,3097,2238,3149,7929,7822,2118
 ZEEBRUGGE,11848,9554,10755,11084,11544,7977,0,51,3317,168,330,255,9658,6443,7264,6239,8492,11146,11023,11133,10939,3570,10737,10685,8071,61,10828,10969,10655,10266,10359,5184,6062,9553,3925,8252,9673,9875,9661,6718,9858,8998,6039,95,185,8831
 ANTWERP,11894,9600,10801,11130,11590,8023,51,0,3363,215,370,235,9704,6514,7310,6298,8538,11192,11069,11179,10985,3616,10783,10731,8117,42,10874,11015,10701,10312,10405,5230,6108,9599,3971,8298,9719,9921,9707,6764,9904,9044,6085,144,231,8889
 SOKHNA,8543,6248,7450,7779,8239,4671,3317,3363,0,3171,3621,3566,6352,3131,3959,2943,5186,7841,7718,7828,7633,265,7432,7380,4766,3377,7523,7664,7350,6961,7054,1878,2757,6247,620,4946,6368,6570,6356,3412,6553,5693,2734,3269,3162,5535
 LE HAVRE,11702,9408,10609,10938,11398,7831,168,215,3171,0,492,419,9512,6304,7118,6104,8346,11000,10877,10987,10793,3424,10591,10539,7925,228,10682,10823,10509,10120,10213,5038,5916,9407,3779,8106,9527,9729,9515,6572,9712,8852,5893,132,103,8695
